"","Ideal model","Conventional model","IV model"
"ex=0.2,uc=-0.07",0.0285955281490053,0.0285284128124435,0.028518284173177
"ex=0.2,uc=-0.08",0.0284740880508793,0.0283996423453126,0.0283915512318932
"ex=0.2,uc=-0.09",0.0283290280704713,0.0282487903118688,0.0282444149770888
"ex=0.3,uc=-0.07",0.028644758871438,0.0285506895753925,0.0285359829274617
"ex=0.3,uc=-0.08",0.0285179908197226,0.0284273670517951,0.0284139503379847
"ex=0.3,uc=-0.09",0.0283642801379402,0.0282729975670885,0.0282538535403043
"ex=0.4,uc=-0.07",0.0287057326981224,0.0285635352251441,0.0285618152369844
"ex=0.4,uc=-0.08",0.0285862238087653,0.0284459466290418,0.0284375632067077
"ex=0.4,uc=-0.09",0.0284152607393959,0.0282852864716835,0.0282879063213478
