"","Ideal model","Conventional model","IV model"
"ex=0.2,uc=-0.07",0.028271621927265,0.0281951606652527,0.0281825587419282
"ex=0.2,uc=-0.08",0.0281724312707055,0.0280696757086526,0.0280785909939739
"ex=0.2,uc=-0.09",0.0277093003659768,0.0276338592056873,0.0276126417229573
"ex=0.3,uc=-0.07",0.0282990670140133,0.028207625364038,0.0281723853560387
"ex=0.3,uc=-0.08",0.0281736773411429,0.0281088147465089,0.0280678312559659
"ex=0.3,uc=-0.09",0.0277824240914138,0.0276505723772621,0.0276063656915244
"ex=0.4,uc=-0.07",0.0283744996051249,0.0281893324768776,0.0282251260041935
"ex=0.4,uc=-0.08",0.0282756193453097,0.0281222624958943,0.0281247022309584
"ex=0.4,uc=-0.09",0.0278179141392023,0.027686548032021,0.0276709994183321
