"","Ideal model","Conventional model","IV model"
"ex=0.2,uc=-0.07",4.25972637110366e-13,-0.411018381764261,-0.0733967971338562
"ex=0.2,uc=-0.08",4.29596545741688e-13,-0.399181913379239,-0.099796315741765
"ex=0.2,uc=-0.09",4.27428141396717e-13,-0.482849824355203,-0.149285781180079
"ex=0.3,uc=-0.07",4.25497370404619e-13,-0.48098258564143,-0.075703963829586
"ex=0.3,uc=-0.08",4.29165835289605e-13,-0.456509308134607,-0.0958079946214872
"ex=0.3,uc=-0.09",4.28319266469993e-13,-0.556103879897741,-0.111806164969601
"ex=0.4,uc=-0.07",4.27650922665036e-13,-0.524637897481764,-0.0717302071211254
"ex=0.4,uc=-0.08",4.29982699940107e-13,-0.513535915175726,-0.121123615598631
"ex=0.4,uc=-0.09",4.30948085436156e-13,-0.628574602558343,-0.19686696087781
