"","size","Ideal.model","Conventional.model","IV.model"
"1","1000",0.0283744996051249,0.0281893324768776,0.0282251260041935
"2","5000",0.0280008465925557,0.0278765546320266,0.0278913360292536
"3","10000",0.0280868723846149,0.0279572702820997,0.0279854702641095
"4","40000",0.0284666048401947,0.0283367587122718,0.0283427105681087
