"","Ideal model","Conventional model","IV model"
"pp=0.3,uc=0.3",0.0281943547640828,0.0281276444205,0.0280947337696714
"pp=0.3,uc=0.4",0.0281696497009631,0.0280872305150824,0.02809182122695
"pp=0.3,uc=0.5",0.0284236549488683,0.0283429638504577,0.028347831556208
"pp=0.5,uc=0.3",0.0282475983324355,0.0281479400374429,0.0281481233619374
"pp=0.5,uc=0.4",0.0282247702035438,0.0281260591062458,0.0281242366376876
"pp=0.5,uc=0.5",0.0284825914699881,0.0283752357406807,0.0283872301569366
"pp=0.7,uc=0.3",0.0283162610419615,0.0281798959637086,0.0281806730914176
"pp=0.7,uc=0.4",0.0282805374059285,0.0281598038422042,0.0281590591525542
"pp=0.7,uc=0.5",0.0285411431149296,0.0284122315460217,0.0284057400082511
