"","Ideal model","Conventional model","IV model"
"ex=0.2,uc=-0.07",0.0282995334045862,0.0282192870643455,0.0282294612899272
"ex=0.2,uc=-0.08",0.0281894786495036,0.028111090299528,0.028119406293135
"ex=0.2,uc=-0.09",0.0279900434778025,0.0279111048890331,0.0279122619935821
"ex=0.3,uc=-0.07",0.0283421396860689,0.028243993324539,0.0282487636223868
"ex=0.3,uc=-0.08",0.0282361508215579,0.0281326498868057,0.028137910619744
"ex=0.3,uc=-0.09",0.0280384262490312,0.027926531919887,0.0279329084128771
"ex=0.4,uc=-0.07",0.0283970221873969,0.0282672172565773,0.0282800394038706
"ex=0.4,uc=-0.08",0.0282900384872085,0.0281600644861053,0.0281732452700263
"ex=0.4,uc=-0.09",0.0280895332404191,0.0279591698321489,0.0279556021771029
