"","Ideal model","Conventional model","IV model"
"ex=0.2,uc=-0.07",4.11491854669635e-13,-1.20193652368836,-2.56380475579711
"ex=0.2,uc=-0.08",4.24680505754117e-13,-0.549666582938541,-3.28945406614506
"ex=0.2,uc=-0.09",4.19110974046143e-13,-2.05423375366967,-5.40917653278524
"ex=0.3,uc=-0.07",4.10749250441906e-13,-1.46008776481115,-2.97311033612206
"ex=0.3,uc=-0.08",4.17818842689893e-13,-0.649198490763521,-3.84458902503384
"ex=0.3,uc=-0.09",4.16437598826316e-13,-2.23130542639011,-6.07666937267589
"ex=0.4,uc=-0.07",4.06145104229981e-13,-1.59662691030909,-3.31536080230622
"ex=0.4,uc=-0.08",4.17447540576028e-13,-0.746932611699241,-4.11363006200396
"ex=0.4,uc=-0.09",4.13793927775598e-13,-2.5085199296478,-6.85991295402384
