"","Ideal model","Conventional model","IV model"
"ex=0.2,uc=-0.07",4.28393526892766e-13,-0.920244878560076,0.25729916110923
"ex=0.2,uc=-0.08",4.34557141982923e-13,-0.593981867180744,0.326039199639439
"ex=0.2,uc=-0.09",4.35121521195998e-13,-0.517559254223121,0.463146063544736
"ex=0.3,uc=-0.07",4.25022103698872e-13,-1.05917455135957,0.24775565854598
"ex=0.3,uc=-0.08",4.3703744010354e-13,-0.677887506614791,0.347468299354619
"ex=0.3,uc=-0.09",4.32849152259144e-13,-0.584475346674283,0.519761125936017
"ex=0.4,uc=-0.07",4.28660864414748e-13,-1.16728718708106,0.336329861920311
"ex=0.4,uc=-0.08",4.35492823309863e-13,-0.719128626688823,0.409014829249323
"ex=0.4,uc=-0.09",4.36428504636802e-13,-0.650497126768126,0.669228522259
