"","Ideal model","Conventional model","IV model"
"ex=0.2,uc=-0.07",4.2546766623551e-13,-1.04795051405544,0.0201418602994205
"ex=0.2,uc=-0.08",4.16155409219779e-13,-1.66052023083586,0.0355458959230548
"ex=0.2,uc=-0.09",4.11595819261518e-13,-1.09711142126763,0.0186969099937178
"ex=0.3,uc=-0.07",4.25007251614318e-13,-1.21144271095054,-0.016895796297062
"ex=0.3,uc=-0.08",4.18264405226531e-13,-1.94573540348985,0.0299983243680635
"ex=0.3,uc=-0.09",4.12308719320138e-13,-1.3083001808812,-0.0158752901306854
"ex=0.4,uc=-0.07",4.22244763887163e-13,-1.34052351318778,-0.0204942710156446
"ex=0.4,uc=-0.08",4.16318782149879e-13,-2.16332119210396,-0.0906717496456106
"ex=0.4,uc=-0.09",4.11536410923299e-13,-1.42126896594143,0.163045480450116
